"HT","Psn","mm","ndvi"
1.68744643002643,0.58,80,0.521762208067941
2.86815495532605,0.48,80,0.388861263053207
0.0837210403246916,0.56,56,0.496064153014835
0.204072645069399,0.595,56,0.503485894088228
0.0197363449552619,0.625,56,0.529455061444544
5.6125534323364,0.685,56,0.538954095723824
2.05636959014274,0.735,56,0.578176834266234
0.105163123285271,0.72,56,0.601781204391142
9.66144426119642,0.615,56,0.495471403403845
12.6712127226867,0.65,56,0.504513472249153
0.667806456669022,0.645,56,0.520285094370742
0.0586980325490694,0.465,56,0.475368386887374
0.254610182054313,0.445,56,0.484104908764304
0.239430985971815,0.445,56,0.476054832438858
0.149470437272298,0.53,56,0.519716298666307
0.195297460565923,0.655,56,0.533874580894191
0.261751303179949,0.59,56,0.555636630071661
0.0803582967303874,0.595,56,0.5686350754246
0.0723496910849609,0.645,56,0.599440280598732
0.550005160041978,0.635,56,0.498712192068725
1.42366974514377,0.48,80,0.4118901626233
4.44187646730575,0.73,56,0.567535787222472
0.561919622976759,0.71,56,0.578840723656356
0.53780803020568,0.39,56,0.453970178549585
0.474236358904452,0.46,56,0.476092854664606
2.09242472686185,0.53,56,0.481023842159127
0.122009467483708,0.565,56,0.487487302275589
0.77340077037182,0.455,56,0.50703417660515
1.11230180303148,0.36,56,0.480206474884123
1.72686139233374,0.33,56,0.468262350035135
3.31254205063063,0.32,56,0.465650353385271
2.29804967866841,0.53,56,0.495352764196064
1.19384629167952,0.46,56,0.504354486088612
0.284353356741465,0.335,56,0.472488817796736
0.516690003072276,0.25,56,0.449602833584218
0.574161407048177,0.52,56,0.477730652553214
0.832778872072071,0.54,56,0.522004815181811
0.363855499509011,0.44,56,0.529321220584756
0.418199924892658,0.25,56,0.458751127550666
0.779948132884685,0.555,56,0.521491505501128
1.2836555282107,0.605,56,0.565788794485078
0.340875554324811,0.47,56,0.531424681400383
1.15876642504269,0.64,56,0.518751238142527
3.00051181471485,0.64,56,0.522007163620762
1.56905075331109,0.57,56,0.508634368045611
0.759477471465125,0.505,56,0.454785927261029
0.232188409769812,0.485,56,0.442763815460691
0.216846597650773,0.565,56,0.508048618430349
5.58434643921454,0.71,56,0.658392807521588
6.4523694812564,0.66,56,0.646969601432703
5.43263401787999,0.635,56,0.636233271577271
0.295470732278235,0.5,56,0.478648110802734
0.521743748551091,0.54,56,0.500243048267176
0.407137482973731,0.69,56,0.6109495523739
0.729956753145687,0.36,56,0.529445271611309
2.91157926163958,0.47,56,0.562407695858506
8.4233817573739,0.725,56,0.661752825101989
8.86542898623492,0.58,56,0.622956427031194
1.14170251732646,0.26,80,0.370393504059963
1.83796956935059,0.44,80,0.458467186782928
5.46723479794063,0.46,80,0.47710843373494
6.37745933866533,0.665,56,0.668188795291807
9.06968484519657,0.69,56,0.686209718011762
1.20047891033537,0.46,56,0.590360686905937
0.986206415388753,0.41,56,0.533046085783481
5.00684175002977,0.66,56,0.637060122413092
8.17540819390101,0.42,80,0.412261217236784
4.63621527374636,0.31,80,0.366127898805341
14.0610365619538,0.78,56,0.698308970046036
10.0625781531735,0.82,56,0.715230526452606
13.5568050945483,0.815,56,0.725178132064122
4.09019718304367,0.52,56,0.604700482598239
2.50179352204165,0.305,56,0.523447444607147
3.10672963111018,0.54,56,0.59484034965555
2.59007871100039,0.32,80,0.364445409159974
1.78759176051799,0.39,80,0.360709286047597
0.0149720131228437,0.4,80,0.375030659798872
10.357832186459,0.675,56,0.582185229892413
9.62094610981109,0.625,56,0.57593199126503
9.37977356269768,0.685,56,0.614987613476384
4.13117297544947,0.7,56,0.650190107224975
0.00900762839460897,0.63,56,0.655929564515728
0.6294874902138,0.33,80,0.362312243969049
0.118309332263245,0.37,80,0.375272199370917
0.00230189463731043,0.43,80,0.380049875311721
1.29214684176349,0.5,56,0.479387226354486
2.29433742206867,0.46,56,0.496497837798897
3.57163523338387,0.44,56,0.508514693904493
7.36695822092343,0.655,56,0.582375912668707
0.552163375806775,0.525,56,0.558460874585104
1.06665761326521,0.53,56,0.498843269266115
0.584102117836116,0.525,56,0.505700270354224
0.836170724731095,0.505,56,0.50335297336161
1.90099801596486,0.6,56,0.511088693770972
2.00313790464933,0.735,56,0.57421968914702
1.32573484160275,0.475,56,0.512524851692495
1.51845281921844,0.54,56,0.525927361181545
0.753902746547211,0.46,80,0.42588092345079
0.212042951718621,0.6,56,0.513748012293733
0.156621128857941,0.575,56,0.487695627538198
0.559396399367564,0.56,80,0.420768497935853
0.15448328894514,0.62,56,0.51442795800198
0.0117027463221465,0.623333333333333,42.6666666666667,0.578000519528014
0.301008621300642,0.54,56,0.560310188328398
1.14257003506259,0.46,56,0.533959951890706
3.58350896746471,0.425,56,0.500371477384388
0.275394534260615,0.575,56,0.490765351697913
0.456144132127663,0.626666666666667,42.6666666666667,0.583448476671967
0.609608291021257,0.66,42.6666666666667,0.60378850516674
0.14773424019678,0.663333333333333,42.6666666666667,0.63066176249658
0.14362327241944,0.566666666666667,42.6666666666667,0.620079313788652
0.178898278263605,0.536666666666667,42.6666666666667,0.604020497129317
1.08519166078541,0.51,80,0.466931592392847
0.15224173494491,0.705,56,0.616181454766664
5.35264117578658,0.666666666666667,42.6666666666667,0.618561520606385
5.21204037069024,0.636666666666667,42.6666666666667,0.630320418966343
5.01448911389441,0.503333333333333,42.6666666666667,0.581886316923368
0.0897026608744955,0.533333333333333,42.6666666666667,0.56891063498159
1.53709314929215,0.7,42.6666666666667,0.602147759726591
0.760477386621766,0.626666666666667,42.6666666666667,0.583746334948228
